[29-05:10:00:00.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1011] [SRC_HO_P] [MRO] AMF_UE_ID: 2011, RSRP_SOURCE: 83, RSRP_TARGET: 80, RSRQ_SOURCE: 15, RSRQ_TARGET: 13, LOAD_SOURCE: 2, PCI_SOURCE: 66, CELL_ID_SOURCE: 140112235312328, PCI_TARGET: 92, CELL_ID_TARGET: 140112235302328, HO_FAIL_COUNT: 0, HO_MARGIN: 22, TIME_TO_TRIGGER: 12, HOF: 0
[29-05:10:01:17.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1076] [SRC_HO_P] [MRO] AMF_UE_ID: 2076, RSRP_SOURCE: 81, RSRP_TARGET: 74, RSRQ_SOURCE: 18, RSRQ_TARGET: 14, LOAD_SOURCE: 1, PCI_SOURCE: 66, CELL_ID_SOURCE: 140112235322328, PCI_TARGET: 92, CELL_ID_TARGET: 140112235392328, HO_FAIL_COUNT: 1, HO_MARGIN: 18, TIME_TO_TRIGGER: 1, HOF: 1
[29-05:10:01:36.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1092] [SRC_HO_P] [MRO] AMF_UE_ID: 2092, RSRP_SOURCE: 79, RSRP_TARGET: 68, RSRQ_SOURCE: 17, RSRQ_TARGET: 14, LOAD_SOURCE: 0, PCI_SOURCE: 90, CELL_ID_SOURCE: 140112235352328, PCI_TARGET: 88, CELL_ID_TARGET: 140112235372328, HO_FAIL_COUNT: 0, HO_MARGIN: 6, TIME_TO_TRIGGER: 8, HOF: 0
[29-05:10:01:31.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1006] [SRC_HO_P] [MRO] AMF_UE_ID: 2006, RSRP_SOURCE: 63, RSRP_TARGET: 58, RSRQ_SOURCE: 16, RSRQ_TARGET: 13, LOAD_SOURCE: 1, PCI_SOURCE: 66, CELL_ID_SOURCE: 140112235322328, PCI_TARGET: 90, CELL_ID_TARGET: 140112235342328, HO_FAIL_COUNT: 0, HO_MARGIN: 14, TIME_TO_TRIGGER: 1, HOF: 0
[29-05:10:02:06.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1060] [SRC_HO_P] [MRO] AMF_UE_ID: 2060, RSRP_SOURCE: 69, RSRP_TARGET: 72, RSRQ_SOURCE: 18, RSRQ_TARGET: 15, LOAD_SOURCE: 0, PCI_SOURCE: 88, CELL_ID_SOURCE: 140112235332328, PCI_TARGET: 90, CELL_ID_TARGET: 140112235382328, HO_FAIL_COUNT: 1, HO_MARGIN: 13, TIME_TO_TRIGGER: 8, HOF: 1
[29-05:10:01:45.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1072] [SRC_HO_P] [MRO] AMF_UE_ID: 2072, RSRP_SOURCE: 62, RSRP_TARGET: 64, RSRQ_SOURCE: 14, RSRQ_TARGET: 12, LOAD_SOURCE: 1, PCI_SOURCE: 90, CELL_ID_SOURCE: 140112235332328, PCI_TARGET: 66, CELL_ID_TARGET: 140112235342328, HO_FAIL_COUNT: 1, HO_MARGIN: 24, TIME_TO_TRIGGER: 8, HOF: 0
[29-05:10:02:08.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1060] [SRC_HO_P] [MRO] AMF_UE_ID: 2060, RSRP_SOURCE: 86, RSRP_TARGET: 77, RSRQ_SOURCE: 14, RSRQ_TARGET: 11, LOAD_SOURCE: 1, PCI_SOURCE: 90, CELL_ID_SOURCE: 140112235302328, PCI_TARGET: 66, CELL_ID_TARGET: 140112235322328, HO_FAIL_COUNT: 1, HO_MARGIN: 5, TIME_TO_TRIGGER: 9, HOF: 0
[29-05:10:02:16.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1099] [SRC_HO_P] [MRO] AMF_UE_ID: 2099, RSRP_SOURCE: 81, RSRP_TARGET: 71, RSRQ_SOURCE: 16, RSRQ_TARGET: 14, LOAD_SOURCE: 1, PCI_SOURCE: 92, CELL_ID_SOURCE: 140112235302328, PCI_TARGET: 88, CELL_ID_TARGET: 140112235342328, HO_FAIL_COUNT: 0, HO_MARGIN: 0, TIME_TO_TRIGGER: 8, HOF: 0
[29-05:10:01:48.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1042] [SRC_HO_P] [MRO] AMF_UE_ID: 2042, RSRP_SOURCE: 100, RSRP_TARGET: 90, RSRQ_SOURCE: 15, RSRQ_TARGET: 11, LOAD_SOURCE: 0, PCI_SOURCE: 66, CELL_ID_SOURCE: 140112235392328, PCI_TARGET: 90, CELL_ID_TARGET: 140112235382328, HO_FAIL_COUNT: 0, HO_MARGIN: 14, TIME_TO_TRIGGER: 2, HOF: 0
[29-05:10:02:51.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1056] [SRC_HO_P] [MRO] AMF_UE_ID: 2056, RSRP_SOURCE: 119, RSRP_TARGET: 112, RSRQ_SOURCE: 19, RSRQ_TARGET: 15, LOAD_SOURCE: 0, PCI_SOURCE: 90, CELL_ID_SOURCE: 140112235342328, PCI_TARGET: 88, CELL_ID_TARGET: 140112235382328, HO_FAIL_COUNT: 0, HO_MARGIN: 17, TIME_TO_TRIGGER: 12, HOF: 0
[29-05:10:02:40.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1063] [SRC_HO_P] [MRO] AMF_UE_ID: 2063, RSRP_SOURCE: 72, RSRP_TARGET: 74, RSRQ_SOURCE: 19, RSRQ_TARGET: 16, LOAD_SOURCE: 1, PCI_SOURCE: 92, CELL_ID_SOURCE: 140112235342328, PCI_TARGET: 88, CELL_ID_TARGET: 140112235342328, HO_FAIL_COUNT: 0, HO_MARGIN: 10, TIME_TO_TRIGGER: 9, HOF: 0
[29-05:10:02:06.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1090] [SRC_HO_P] [MRO] AMF_UE_ID: 2090, RSRP_SOURCE: 120, RSRP_TARGET: 120, RSRQ_SOURCE: 18, RSRQ_TARGET: 16, LOAD_SOURCE: 1, PCI_SOURCE: 88, CELL_ID_SOURCE: 140112235332328, PCI_TARGET: 66, CELL_ID_TARGET: 140112235352328, HO_FAIL_COUNT: 0, HO_MARGIN: 28, TIME_TO_TRIGGER: 14, HOF: 0
[29-05:10:01:50.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1076] [SRC_HO_P] [MRO] AMF_UE_ID: 2076, RSRP_SOURCE: 61, RSRP_TARGET: 58, RSRQ_SOURCE: 16, RSRQ_TARGET: 14, LOAD_SOURCE: 0, PCI_SOURCE: 88, CELL_ID_SOURCE: 140112235372328, PCI_TARGET: 90, CELL_ID_TARGET: 140112235382328, HO_FAIL_COUNT: 1, HO_MARGIN: 22, TIME_TO_TRIGGER: 9, HOF: 0
[29-05:10:03:04.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1088] [SRC_HO_P] [MRO] AMF_UE_ID: 2088, RSRP_SOURCE: 87, RSRP_TARGET: 79, RSRQ_SOURCE: 19, RSRQ_TARGET: 17, LOAD_SOURCE: 1, PCI_SOURCE: 92, CELL_ID_SOURCE: 140112235332328, PCI_TARGET: 90, CELL_ID_TARGET: 140112235352328, HO_FAIL_COUNT: 0, HO_MARGIN: 30, TIME_TO_TRIGGER: 13, HOF: 0
[29-05:10:02:00.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1039] [SRC_HO_P] [MRO] AMF_UE_ID: 2039, RSRP_SOURCE: 68, RSRP_TARGET: 63, RSRQ_SOURCE: 17, RSRQ_TARGET: 15, LOAD_SOURCE: 0, PCI_SOURCE: 92, CELL_ID_SOURCE: 140112235322328, PCI_TARGET: 90, CELL_ID_TARGET: 140112235332328, HO_FAIL_COUNT: 0, HO_MARGIN: 22, TIME_TO_TRIGGER: 7, HOF: 0
[29-05:10:03:20.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1099] [SRC_HO_P] [MRO] AMF_UE_ID: 2099, RSRP_SOURCE: 66, RSRP_TARGET: 63, RSRQ_SOURCE: 19, RSRQ_TARGET: 17, LOAD_SOURCE: 1, PCI_SOURCE: 90, CELL_ID_SOURCE: 140112235342328, PCI_TARGET: 92, CELL_ID_TARGET: 140112235322328, HO_FAIL_COUNT: 0, HO_MARGIN: 6, TIME_TO_TRIGGER: 9, HOF: 0
[29-05:10:02:10.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1091] [SRC_HO_P] [MRO] AMF_UE_ID: 2091, RSRP_SOURCE: 84, RSRP_TARGET: 74, RSRQ_SOURCE: 14, RSRQ_TARGET: 12, LOAD_SOURCE: 0, PCI_SOURCE: 92, CELL_ID_SOURCE: 140112235372328, PCI_TARGET: 88, CELL_ID_TARGET: 140112235352328, HO_FAIL_COUNT: 0, HO_MARGIN: 2, TIME_TO_TRIGGER: 10, HOF: 0
[29-05:10:02:15.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1093] [SRC_HO_P] [MRO] AMF_UE_ID: 2093, RSRP_SOURCE: 120, RSRP_TARGET: 120, RSRQ_SOURCE: 17, RSRQ_TARGET: 14, LOAD_SOURCE: 0, PCI_SOURCE: 92, CELL_ID_SOURCE: 140112235302328, PCI_TARGET: 88, CELL_ID_TARGET: 140112235342328, HO_FAIL_COUNT: 1, HO_MARGIN: 12, TIME_TO_TRIGGER: 13, HOF: 1
[29-05:10:03:16.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1023] [SRC_HO_P] [MRO] AMF_UE_ID: 2023, RSRP_SOURCE: 80, RSRP_TARGET: 73, RSRQ_SOURCE: 15, RSRQ_TARGET: 13, LOAD_SOURCE: 1, PCI_SOURCE: 92, CELL_ID_SOURCE: 140112235382328, PCI_TARGET: 90, CELL_ID_TARGET: 140112235392328, HO_FAIL_COUNT: 0, HO_MARGIN: 15, TIME_TO_TRIGGER: 14, HOF: 0
[29-05:10:02:54.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1000] [SRC_HO_P] [MRO] AMF_UE_ID: 2000, RSRP_SOURCE: 102, RSRP_TARGET: 92, RSRQ_SOURCE: 16, RSRQ_TARGET: 14, LOAD_SOURCE: 1, PCI_SOURCE: 90, CELL_ID_SOURCE: 140112235372328, PCI_TARGET: 92, CELL_ID_TARGET: 140112235382328, HO_FAIL_COUNT: 0, HO_MARGIN: 16, TIME_TO_TRIGGER: 13, HOF: 0
[29-05:10:03:00.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1085] [SRC_HO_P] [MRO] AMF_UE_ID: 2085, RSRP_SOURCE: 120, RSRP_TARGET: 120, RSRQ_SOURCE: 18, RSRQ_TARGET: 16, LOAD_SOURCE: 0, PCI_SOURCE: 66, CELL_ID_SOURCE: 140112235322328, PCI_TARGET: 92, CELL_ID_TARGET: 140112235382328, HO_FAIL_COUNT: 0, HO_MARGIN: 0, TIME_TO_TRIGGER: 3, HOF: 0
[29-05:10:03:06.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1083] [SRC_HO_P] [MRO] AMF_UE_ID: 2083, RSRP_SOURCE: 79, RSRP_TARGET: 68, RSRQ_SOURCE: 19, RSRQ_TARGET: 15, LOAD_SOURCE: 0, PCI_SOURCE: 88, CELL_ID_SOURCE: 140112235372328, PCI_TARGET: 92, CELL_ID_TARGET: 140112235382328, HO_FAIL_COUNT: 0, HO_MARGIN: 17, TIME_TO_TRIGGER: 1, HOF: 0
[29-05:10:04:16.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1062] [SRC_HO_P] [MRO] AMF_UE_ID: 2062, RSRP_SOURCE: 120, RSRP_TARGET: 120, RSRQ_SOURCE: 16, RSRQ_TARGET: 13, LOAD_SOURCE: 1, PCI_SOURCE: 66, CELL_ID_SOURCE: 140112235302328, PCI_TARGET: 88, CELL_ID_TARGET: 140112235362328, HO_FAIL_COUNT: 0, HO_MARGIN: 19, TIME_TO_TRIGGER: 8, HOF: 0
[29-05:10:02:45.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1013] [SRC_HO_P] [MRO] AMF_UE_ID: 2013, RSRP_SOURCE: 120, RSRP_TARGET: 120, RSRQ_SOURCE: 18, RSRQ_TARGET: 14, LOAD_SOURCE: 1, PCI_SOURCE: 90, CELL_ID_SOURCE: 140112235332328, PCI_TARGET: 88, CELL_ID_TARGET: 140112235362328, HO_FAIL_COUNT: 1, HO_MARGIN: 11, TIME_TO_TRIGGER: 10, HOF: 0
[29-05:10:05:06.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1043] [SRC_HO_P] [MRO] AMF_UE_ID: 2043, RSRP_SOURCE: 109, RSRP_TARGET: 99, RSRQ_SOURCE: 17, RSRQ_TARGET: 13, LOAD_SOURCE: 1, PCI_SOURCE: 88, CELL_ID_SOURCE: 140112235312328, PCI_TARGET: 92, CELL_ID_TARGET: 140112235382328, HO_FAIL_COUNT: 1, HO_MARGIN: 15, TIME_TO_TRIGGER: 2, HOF: 1
[29-05:10:04:40.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1046] [SRC_HO_P] [MRO] AMF_UE_ID: 2046, RSRP_SOURCE: 114, RSRP_TARGET: 105, RSRQ_SOURCE: 14, RSRQ_TARGET: 12, LOAD_SOURCE: 0, PCI_SOURCE: 66, CELL_ID_SOURCE: 140112235382328, PCI_TARGET: 90, CELL_ID_TARGET: 140112235332328, HO_FAIL_COUNT: 0, HO_MARGIN: 2, TIME_TO_TRIGGER: 9, HOF: 0
[29-05:10:04:12.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1030] [SRC_HO_P] [MRO] AMF_UE_ID: 2030, RSRP_SOURCE: 104, RSRP_TARGET: 93, RSRQ_SOURCE: 18, RSRQ_TARGET: 14, LOAD_SOURCE: 0, PCI_SOURCE: 92, CELL_ID_SOURCE: 140112235342328, PCI_TARGET: 90, CELL_ID_TARGET: 140112235312328, HO_FAIL_COUNT: 0, HO_MARGIN: 19, TIME_TO_TRIGGER: 3, HOF: 0
[29-05:10:05:33.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1048] [SRC_HO_P] [MRO] AMF_UE_ID: 2048, RSRP_SOURCE: 64, RSRP_TARGET: 61, RSRQ_SOURCE: 14, RSRQ_TARGET: 10, LOAD_SOURCE: 1, PCI_SOURCE: 66, CELL_ID_SOURCE: 140112235362328, PCI_TARGET: 88, CELL_ID_TARGET: 140112235332328, HO_FAIL_COUNT: 0, HO_MARGIN: 21, TIME_TO_TRIGGER: 9, HOF: 0
[29-05:10:05:42.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1021] [SRC_HO_P] [MRO] AMF_UE_ID: 2021, RSRP_SOURCE: 81, RSRP_TARGET: 78, RSRQ_SOURCE: 15, RSRQ_TARGET: 12, LOAD_SOURCE: 2, PCI_SOURCE: 88, CELL_ID_SOURCE: 140112235382328, PCI_TARGET: 66, CELL_ID_TARGET: 140112235342328, HO_FAIL_COUNT: 1, HO_MARGIN: 5, TIME_TO_TRIGGER: 2, HOF: 1
[29-05:10:04:33.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1040] [SRC_HO_P] [MRO] AMF_UE_ID: 2040, RSRP_SOURCE: 61, RSRP_TARGET: 58, RSRQ_SOURCE: 19, RSRQ_TARGET: 15, LOAD_SOURCE: 0, PCI_SOURCE: 88, CELL_ID_SOURCE: 140112235342328, PCI_TARGET: 66, CELL_ID_TARGET: 140112235392328, HO_FAIL_COUNT: 1, HO_MARGIN: 2, TIME_TO_TRIGGER: 2, HOF: 1
[29-05:10:03:20.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1086] [SRC_HO_P] [MRO] AMF_UE_ID: 2086, RSRP_SOURCE: 120, RSRP_TARGET: 120, RSRQ_SOURCE: 18, RSRQ_TARGET: 16, LOAD_SOURCE: 0, PCI_SOURCE: 88, CELL_ID_SOURCE: 140112235362328, PCI_TARGET: 66, CELL_ID_TARGET: 140112235302328, HO_FAIL_COUNT: 0, HO_MARGIN: 6, TIME_TO_TRIGGER: 7, HOF: 0
[29-05:10:04:47.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1081] [SRC_HO_P] [MRO] AMF_UE_ID: 2081, RSRP_SOURCE: 96, RSRP_TARGET: 86, RSRQ_SOURCE: 19, RSRQ_TARGET: 17, LOAD_SOURCE: 0, PCI_SOURCE: 66, CELL_ID_SOURCE: 140112235362328, PCI_TARGET: 88, CELL_ID_TARGET: 140112235332328, HO_FAIL_COUNT: 0, HO_MARGIN: 7, TIME_TO_TRIGGER: 5, HOF: 0
[29-05:10:03:30.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1046] [SRC_HO_P] [MRO] AMF_UE_ID: 2046, RSRP_SOURCE: 90, RSRP_TARGET: 80, RSRQ_SOURCE: 15, RSRQ_TARGET: 13, LOAD_SOURCE: 0, PCI_SOURCE: 66, CELL_ID_SOURCE: 140112235362328, PCI_TARGET: 92, CELL_ID_TARGET: 140112235382328, HO_FAIL_COUNT: 0, HO_MARGIN: 11, TIME_TO_TRIGGER: 5, HOF: 0
[29-05:10:05:01.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1068] [SRC_HO_P] [MRO] AMF_UE_ID: 2068, RSRP_SOURCE: 85, RSRP_TARGET: 74, RSRQ_SOURCE: 17, RSRQ_TARGET: 15, LOAD_SOURCE: 0, PCI_SOURCE: 90, CELL_ID_SOURCE: 140112235302328, PCI_TARGET: 92, CELL_ID_TARGET: 140112235352328, HO_FAIL_COUNT: 0, HO_MARGIN: 7, TIME_TO_TRIGGER: 2, HOF: 0
[29-05:10:05:08.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1061] [SRC_HO_P] [MRO] AMF_UE_ID: 2061, RSRP_SOURCE: 65, RSRP_TARGET: 69, RSRQ_SOURCE: 14, RSRQ_TARGET: 10, LOAD_SOURCE: 1, PCI_SOURCE: 92, CELL_ID_SOURCE: 140112235302328, PCI_TARGET: 66, CELL_ID_TARGET: 140112235342328, HO_FAIL_COUNT: 0, HO_MARGIN: 17, TIME_TO_TRIGGER: 3, HOF: 0
[29-05:10:06:00.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1015] [SRC_HO_P] [MRO] AMF_UE_ID: 2015, RSRP_SOURCE: 120, RSRP_TARGET: 120, RSRQ_SOURCE: 18, RSRQ_TARGET: 15, LOAD_SOURCE: 0, PCI_SOURCE: 88, CELL_ID_SOURCE: 140112235382328, PCI_TARGET: 92, CELL_ID_TARGET: 140112235312328, HO_FAIL_COUNT: 0, HO_MARGIN: 12, TIME_TO_TRIGGER: 4, HOF: 0
[29-05:10:03:50.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1037] [SRC_HO_P] [MRO] AMF_UE_ID: 2037, RSRP_SOURCE: 90, RSRP_TARGET: 81, RSRQ_SOURCE: 15, RSRQ_TARGET: 13, LOAD_SOURCE: 0, PCI_SOURCE: 92, CELL_ID_SOURCE: 140112235302328, PCI_TARGET: 66, CELL_ID_TARGET: 140112235382328, HO_FAIL_COUNT: 0, HO_MARGIN: 19, TIME_TO_TRIGGER: 10, HOF: 0
